,user_id,book_id,Rating
20120,5,536,5
20108,5,4638,4
20063,5,1116,4
20056,5,7033,4
20004,5,902,3
3973,5,3691,5
17176,5,23,5
19972,5,7211,5
19925,5,1514,5
19880,5,1100,5
19876,5,5023,3
7649,5,3253,4
14145,5,187,5
15437,5,253,5
14118,5,6773,5
14123,5,373,5
15576,5,435,3
21561,5,438,5
16971,5,507,3
3952,5,7512,5
17355,5,210,5
20473,5,318,4
20469,5,7127,4
20466,5,6336,5
20421,5,848,3
23523,5,333,5
20333,5,2167,3
15679,5,36,5
20250,5,53,5
17272,5,610,5
20230,5,722,4
1950,5,0,4
20218,5,905,4
8063,5,143,5
15,5,766,5
20214,5,1255,4
17224,5,55,4
20211,5,6784,5
21566,5,700,5
21544,5,830,3
21687,5,3577,3
6714,5,1088,5
22812,5,1949,5
8492,5,339,5
22794,5,532,5
22768,5,2849,5
22752,5,4732,4
13466,5,5106,5
22892,5,835,4
18886,5,3420,5
22575,5,962,4
19076,5,1519,4
22492,5,2094,5
22448,5,341,3
19158,5,1615,3
21580,5,1281,5
249,5,2018,4
22604,5,514,4
17651,5,487,5
22970,5,5438,4
22975,5,6922,4
9799,5,434,4
23441,5,1030,4
23306,5,515,3
23290,5,779,3
23280,5,4479,5
23277,5,6824,5
23157,5,1004,5
14581,5,7050,5
17824,5,8218,3
23143,5,3520,5
23138,5,3314,3
23133,5,3236,4
23119,5,797,3
23079,5,475,5
22986,5,3585,4
18499,5,1149,3
23150,5,1150,5
22307,5,189,5
16384,5,232,4
22026,5,1982,3
22014,5,960,4
22005,5,4845,3
21998,5,405,5
16450,5,546,5
21993,5,753,4
21969,5,3014,5
21961,5,2974,5
4242,5,7790,5
22271,5,356,5
21952,5,2399,5
17488,5,4777,5
21947,5,332,4
13740,5,840,4
9402,5,4702,4
21715,5,891,5
21711,5,5586,5
21700,5,6834,5
21690,5,1342,3
9248,5,348,5
22079,5,242,4
19519,5,832,4
22113,5,4731,4
22268,5,8424,5
22127,5,1266,3
22131,5,3273,4
22153,5,7138,5
22250,5,2114,4
22190,5,1369,3
22164,5,6,4
1485,6,4680,5
30106,6,3726,3
19159,6,1615,5
30510,6,1168,3
30629,6,453,5
30063,6,25,5
30731,6,484,3
3054,6,227,3
15680,6,36,4
30761,6,8160,4
30784,6,2253,3
8575,6,5884,4
29121,6,3547,4
20809,6,3378,3
30199,6,270,4
30742,6,6551,3
1486,7,4680,5
6715,7,1088,5
17652,7,487,4
14586,7,7,4
30946,7,4423,4
24367,7,37,5
31099,7,101,2
30952,7,414,5
30936,7,4317,4
30929,7,2593,5
30925,7,6818,3
30908,7,2676,5
13518,7,159,4
31140,7,3621,3
8576,7,5884,5
6199,7,152,4
1235,7,263,3
17932,7,155,4
31290,7,111,5
15668,7,103,5
8064,7,143,5
3642,7,271,5
31218,7,7555,3
3071,8,2,5
29559,8,2028,3
3643,8,271,5
30909,8,2676,5
3612,8,857,3
2553,8,1001,5
10566,8,505,3
8065,8,143,5
17576,8,5749,3
31348,8,7282,2
5891,8,8499,5
726,8,1216,5
32956,8,831,3
33474,8,5743,5
31793,8,4486,4
17933,8,155,5
31822,8,3453,4
32042,8,240,3
32085,8,710,4
12293,8,235,3
32226,8,1993,2
33468,8,5213,3
32258,8,2092,4
32391,8,2568,5
32423,8,7111,3
32527,8,486,2
25378,8,879,5
32557,8,6247,2
31665,8,724,3
32560,8,6704,5
32623,8,8406,4
33465,8,7976,4
32672,8,5984,3
33388,8,1190,4
32759,8,2565,5
32779,8,8423,3
32787,8,5322,3
33293,8,165,3
33258,8,3255,4
32794,8,1201,3
